Name of College	Type	SM (State merit)	EZ (Ezhava)	MU (Muslim)	LA (Latin Catholic and Anglo Indian)	BH (Other Backward Hindu)	DV (Dheevara and related communities)	VK (vishwakarma and related communities)	BX (Other backward X'ian)	KN (Kusavan related communities)	KU (Kudumi)	SC (Scheduled caste)	ST (Scheduled tribe)	EW (Economically Weaker Section)	Special Categories	Course
Sree Narayana Guru College of Engineering and Technology, Kannur	S	51630	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Sree Narayana Gurukulam College of Engineering, Ernakulam	S	46621	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
SNM Institute of Management and Technology, Ernakulam	S	50038	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Sree Narayana Institute of Technology, Adoor	S	44549	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Sreepathy Institute of Management and Technology, Palakkad	S	36865	-	-	-	-	-	-	-	-	-	-	-	-	FW:35124	ME:Mechanical Engineering
St. Thomas Institute For Science and Technology, Thiruvananthapuram	S	51538	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
St.Thomas College of Engineering and Technology,Kannur	S	51821	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Trinity College of Engineering, Thiruvananthapuram	S	50910	-	-	-	-	-	-	-	-	-	-	-	-	FW:24804	ME:Mechanical Engineering
Travancore Engineering College, Kollam	S	46154	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Thejus Engineering College, Thrissur	S	45948	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
T K M Institute of Technology, Kollam	S	37319	40575	40749	37388	-	-	-	-	-	-	46852	-	-	FW:28476	ME:Mechanical Engineering
Toc H Institute of Science and Technology, Ernakulam	S	47957	48310	-	-	-	-	-	-	-	-	48785	-	-		ME:Mechanical Engineering
UKF College of Engineering and Technology, Kollam	S	48653	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Universal Engineering College, Thrissur	S	51245	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Vidya Academy of Science and Technology, Thiruvananthapuram	S	50845	-	-	-	-	-	-	-	-	-	-	-	-	FW:24749	ME:Mechanical Engineering
Vidya Academy of Science and Technology, Thrissur	S	37880	44888	50346	-	41697	-	-	-	-	-	-	-	51046	FW:24925	ME:Mechanical Engineering
Viswajyothi College of Engineering and Technology, Ernakulam	S	51418	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Valia Koonambaikulathamma College of Engineering and Technology, Parippally	S	52347	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Vimal Jyothi Engineering College, Kannur	S	45255	52132	47649	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Mahaguru Institute of Technology, Mavelikkara, Alappuzha	S	41155	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Younus College of Engineering and Technology, Kollam	S	50331	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Amal Jyothi College of Engineering, Kottayam	S	43900	-	-	-	-	-	-	-	-	-	-	-	-		MG:Metallurgical and Materials Engineering
Jyothi Engineering College, Thrissur	S	46570	47295	-	-	-	-	-	-	-	-	-	-	-	FW:23558	MR:Mechatronics Engineering
Malabar College of Engineering and Technology, Thrissur	S	49689	-	-	-	-	-	-	-	-	-	-	-	-		MR:Mechatronics Engineering
ACE College Of Engineering, Thiruvananthapuram	S	46434	-	-	-	-	-	-	-	-	-	-	-	-		MR:Mechatronics Engineering
Nehru College of Engineering and Research Centre, Thrissur	S	47459	-	-	-	-	-	-	-	-	-	-	-	-		MR:Mechatronics Engineering
Nirmala College of Engineering Technology and Management, Thirissur	S	-	-	-	-	-	-	-	-	-	-	-	-	-	FW:50086	MR:Mechatronics Engineering
Government Engineering College, Thrissur	G	12686	14698	14268	33453	13962	23515	14781	43752	-	35594	43907	-	22683	CC:46, FW:9362	PE:Production Engineering
University College of Engineering,Thodupuzha	N	52314	-	-	-	-	-	-	-	-	-	-	-	-		PO:Polymer Engg.
Institute of Engineering and Technology, Malappuram	N	52293	-	-	-	-	-	-	-	-	-	-	-	-		PT:Printing Technology
Government Rajiv Gandhi Institute of Technology, Kottayam	G	6083	7332	6522	-	-	26264	8046	-	8799	-	36158	51437	9145	FW:4603	RA:Robotics and Artificial Intelligence
I E S College of Engineering, Thrissur	S	42653	-	45397	-	-	-	-	-	-	-	46385	-	-		RA:Robotics and Artificial Intelligence
Adi Shankara Institute of Engineering and Technology, Ernakulam	S	41565	49727	45426	-	47665	-	-	-	-	-	49827	-	48122	FW:37487	RB:Robotics & Automation
K M E A Engineering College, Cochin	S	50425	-	-	-	-	-	-	-	-	-	-	-	-	FW:24117	RB:Robotics & Automation
Saintgits College of Engineering, Kottayam	S	47816	48985	51786	-	48457	50762	-	-	49165	-	-	-	-		RB:Robotics & Automation
Rajadhani Institute of Engineering and Technology, Thiruvananthapuram	S	52292	-	-	-	-	-	-	-	-	-	-	-	-		RB:Robotics & Automation
Toc H Institute of Science and Technology, Ernakulam	S	34792	35581	44552	48436	-	-	-	-	-	-	-	-	-	FW:28057	RB:Robotics & Automation
Christ Knowledge City, Ernakulam	S	51699	-	-	-	-	-	-	-	-	-	-	-	-		SB:Naval Arch. & Ship Building
Sree Narayana Gurukulam College of Engineering, Ernakulam	S	41274	48832	48598	43499	47766	48911	-	-	-	-	52469	-	-	FW:25471	SB:Naval Arch. & Ship Building
